,text,text-corrected,id.x,inTrain,username,date,retweets,favorites,geo,mentions,hashtags,id.y,permalink,X
179,Students doing a great job here maintaining respectful testing environment w/high opt out numbers. #PARCC,,8177,1,xianb8,3/17/15,1,2,,,#PARCC,5.78E+17,https://twitter.com/xianb8/status/577869636147945472,
204,Tomorrow is the first day of ELA #PARCC for the #jmswoburn 7th grade students. Get a good night sleep and a big breakfast! #youcandoit!,,3253,1,WryeWMS,3/24/15,1,4,,,#PARCC #jmswoburn #youcandoit,5.80E+17,https://twitter.com/WryeWMS/status/580498503463473152,
147,Owlstars remember tomorrow at 8am is our 1st ever PARCC test! Please be on time so we can start immediately and rock the #PARCC,,8603,1,WiseWolter,3/16/15,0,0,,,#PARCC,5.78E+17,https://twitter.com/WiseWolter/status/577689765249679360,
59,Alright boys and girls let's #PARCC,,4240,1,whatchasay_MrJ,3/22/15,0,1,,,#PARCC,5.80E+17,https://twitter.com/whatchasay_MrJ/status/579817619852644353,
213,Wed and Thurs are dress down days for students who have the Gold #PARCC Pride Points for both Reading and Math #pbis,,50000,1,WalkerMillMS,3/31/15,1,0,,,#PARCC #pbis,5.83E+17,https://twitter.com/WalkerMillMS/status/583041529687707648,
104,Great start to #PARCC testing @casejrhigh - keep up the good work #teamwork #winners,,8536,1,vie_lisa,3/17/15,0,2,,@casejrhigh,#PARCC #teamwork #winners,5.78E+17,https://twitter.com/vie_lisa/status/577784769611706368,
78,"Cuz the #PARCC test ain't got nothin on us"" - @RoxburyPrepRPC #uncommonschools can't get the song out of my head #joyfactor""",,50008,1,titcBARROSiana,3/30/15,0,0,,@RoxburyPrepRPC,#PARCC #uncommonschools #joyfactor,5.83E+17,https://twitter.com/titcBARROSiana/status/582680384011431936,
4,@beansouptimes: Have your followers submit questions on #testing policy & #OptOut to our panel of teachers & policy makers w/ #TestingSeason,,302,1,theschoolpr,3/31/15,0,0,,@beansouptimes,#testing #OptOut #TestingSeason,5.83E+17,https://twitter.com/theschoolpr/status/582958137482866688,
24,@UrbanEdMOOC Our #TestingSeason panel tonight includes teachers & policy makers do you have any questions about #OptOut & #testing policy?,,295,1,theschoolpr,3/31/15,1,0,,@UrbanEdMOOC,#TestingSeason #OptOut #testing,5.83E+17,https://twitter.com/theschoolpr/status/582960694720598016,
81,Did your kids take #PARCC this week? Here's a video explaining why some educators think the test is a valuable tool: http://ow.ly/KBA6g,,4332,1,theschoolpr,3/22/15,0,0,,,#PARCC,5.80E+17,https://twitter.com/theschoolpr/status/579739384930541568,
125,"ISBE rep: students can refuse the test but we do not favor the #optout because we believe in this test. It is a better test"" #TestingSeason""",,130,1,theschoolpr,3/31/15,2,1,,,#optout #TestingSeason,5.83E+17,https://twitter.com/theschoolpr/status/583047513843703808,
96,Getting scheduling squared away for the next round of #parcc and #air This is great. Good job @sampson_mp and @morrisce22,,1896,1,theipodteacher,3/27/15,0,1,,@sampson_mp @morrisce22,#parcc #air,5.81E+17,https://twitter.com/theipodteacher/status/581450041082159104,
138,New post from @FutureReadyMA about our report: MA Teachers Examine PARCC - learn why MA educators support #PARCC http://tinyurl.com/owt5g75,,3390,1,teachplusMA,3/24/15,0,0,,@FutureReadyMA,#PARCC,5.80E+17,https://twitter.com/teachplusMA/status/580435592665784320,
90,For those of you about to take the #parcc plunge -- these strategies have helped us for sure: http://goo.gl/YBSckC,,3370,1,teachargument,5/5/15,0,0,,,#parcc,5.96E+17,https://twitter.com/teachargument/status/595664879622709249,
91,For those of you about to take the #parcc plunge -- these strategies have helped us for sure: http://goo.gl/YBSckC,,3370,1,teachargument,4/21/15,0,0,,,#parcc,5.91E+17,https://twitter.com/teachargument/status/590591534132789248,
92,For those of you about to take the #parcc plunge -- these strategies have helped us for sure: http://goo.gl/YBSckC,,3370,1,teachargument,3/24/15,0,0,,,#parcc,5.80E+17,https://twitter.com/teachargument/status/580444551447478272,
93,For those of you about to take the #parcc plunge -- these strategies have helped us for sure: http://goo.gl/YBSckC,,3370,1,teachargument,3/17/15,0,0,,,#parcc,5.78E+17,https://twitter.com/teachargument/status/577907949097652225,
94,For those of you about to take the #parcc plunge -- these strategies have helped us for sure: http://goo.gl/YBSckC,,3370,1,teachargument,3/3/15,0,0,,,#parcc,5.73E+17,https://twitter.com/teachargument/status/572849488525713408,
95,For those of you about to take the #parcc plunge -- these strategies have helped us for sure: http://goo.gl/YBSckC,,3370,1,teachargument,2/24/15,0,0,,,#parcc,5.70E+17,https://twitter.com/teachargument/status/570312532445040640,
174,Some of the BEST #PARCC pointers that #ohedchat is sure to appreciate:http://goo.gl/YBSckC,,8778,1,teachargument,3/23/15,0,0,,,#PARCC #ohedchat,5.80E+17,https://twitter.com/teachargument/status/580177342494085121,
175,Some of the BEST #PARCC pointers that #ohedchat is sure to appreciate:http://goo.gl/YBSckC,,8778,1,teachargument,3/16/15,0,0,,,#PARCC #ohedchat,5.78E+17,https://twitter.com/teachargument/status/577640609772621824,
176,Some of the BEST #PARCC pointers that #ohedchat is sure to appreciate:http://goo.gl/YBSckC,,8778,1,teachargument,3/9/15,1,2,,,#PARCC #ohedchat,5.75E+17,https://twitter.com/teachargument/status/575103921686994944,
177,Some of the BEST #PARCC pointers that #ohedchat is sure to appreciate:http://goo.gl/YBSckC,,8778,1,teachargument,3/2/15,1,0,,,#PARCC #ohedchat,5.73E+17,https://twitter.com/teachargument/status/572582241857105921,
178,Some of the BEST #PARCC pointers that #ohedchat is sure to appreciate:http://goo.gl/YBSckC,,8778,1,teachargument,2/23/15,1,0,,,#PARCC #ohedchat,5.70E+17,https://twitter.com/teachargument/status/570045512604360704,
21,@RealTalkGwenS Wait until those white parents figure out that the test they are opting out of is free test preparation for the New SAT.,,36,1,sowhesed,3/31/15,3,2,,@RealTalkGwenS,,5.83E+17,https://twitter.com/sowhesed/status/583092573427802112,
195,The SAT can't be leveraged for more school funds resources & supports. But statewide annual assessments can. #Optout protects privilege.,,1547,1,shreec,3/28/15,0,1,,,#Optout,5.82E+17,https://twitter.com/shreec/status/581800972437069824,
114,"How will anyone know if education is heading the right direction?"" Testing #optout is a mistake: http://ow.ly/L2YTL @TimesUnion""",,50017,1,SheriRodman,3/31/15,1,0,,@TimesUnion,#optout,5.83E+17,https://twitter.com/SheriRodman/status/583022328218537984,
101,Good Luck to all my teacher peeps giving the #PARCC test this week! pic.twitter.com/mFzLxmIh3y,,10033,1,shannonpglover,3/15/15,0,2,,,#PARCC,5.77E+17,https://twitter.com/shannonpglover/status/577300031499186176,
134,My appreciation & thanks to our 7 & 8 graders and staff for all of your efforts as we began #PARCC. #Thankyoupic.twitter.com/AraceB1QeZ,,8803,1,sean_gilrein,3/16/15,2,2,,,#PARCC #Thankyoupic,5.78E+17,https://twitter.com/sean_gilrein/status/577637999279734784,
57,"A Recipe for #PARCC Success: @JohnsburgSD12 approaches new testing system with all skills on deck"" approach: http://bit.ly/1Ba869c #CCSS""",,4010,1,ScholasticEd,3/23/15,1,0,,@JohnsburgSD12,#PARCC #CCSS,5.80E+17,https://twitter.com/ScholasticEd/status/580053747067432960,
154,Parents want that free public edu 4 their kids but w/o pesky tests || Parents & Students Opt Out #CommonCore testing http://nyti.ms/1wDojSo,,22180,1,RTVJoeDC,3/1/15,0,0,,,#CommonCore,5.72E+17,https://twitter.com/RTVJoeDC/status/572219541419257856,
133,"Much Needed! Pearson released an update that prevents students from being able to submit their test if they have unvisited units."" #parcc""",,4050,1,rsaeks,3/23/15,0,0,,,#parcc,5.80E+17,https://twitter.com/rsaeks/status/580027146971652096,
84,Don't forget #PARCC testing starts this week. Get a good night's sleep eat healthy & get to school on time!,,4075,1,RPS_AsstSuper,3/23/15,0,1,,,#PARCC,5.80E+17,https://twitter.com/RPS_AsstSuper/status/580015539659149313,
205,Tomorrow our 6th graders begin #Parcc testing. Get to bed early eat a healthy breakfast and get to school on time!,,50009,1,RPS_AsstSuper,3/30/15,0,0,,,#Parcc,5.83E+17,https://twitter.com/RPS_AsstSuper/status/582657371480174592,
56,A huge congratulations to our 3rd grade scholars for completing their #PARCC testing today. Bravo! pic.twitter.com/N1e0dqsmK0,,1730,1,RockyMtnPrep,3/27/15,0,1,,,#PARCC,5.82E+17,https://twitter.com/RockyMtnPrep/status/581577001309442051,
58,"Accurate test results are necessary for teachers & schools to identify areas of need."" The case against #optout http://bit.ly/1GRVx5Z""",,8010,1,RhodeIslandCAN,3/17/15,0,0,,,#optout,5.78E+17,https://twitter.com/RhodeIslandCAN/status/577899708913295360,
11,@Montel_Williams They're not. #pearsoniswatching is some serious Alex Jones-level bullshit.,,8579,1,revprez,3/17/15,0,0,,@Montel_Williams,#pearsoniswatching,5.78E+17,https://twitter.com/revprez/status/577717338428035072,
161,Relax #PARCC people. Pearson isn't spying on your kids. Tweeting a copy of a test however is probably going to attract some attention.,,8652,1,revprez,3/16/15,0,0,,,#PARCC,5.78E+17,https://twitter.com/revprez/status/577662571991412737,
191,The 4th and 5th graders of City Springs are ready for the #PARCC exam! @BaltCitySchools https://instagram.com/p/0VCvRiA8p_/,,8479,1,RevMLTillerJr,3/17/15,0,0,,@BaltCitySchools,#PARCC,5.78E+17,https://twitter.com/RevMLTillerJr/status/577808476359024640,
26,#GoodMorning Make sure you guys eat a balanced breakfast It'll help you sustain while taking the #PARCC test.... http://fb.me/3ksHq2XEB,,8520,1,Renaissance433,3/17/15,2,2,,,#GoodMorning #PARCC,5.78E+17,https://twitter.com/Renaissance433/status/577789738603667457,
115,I won't opt my kid out of Common Core testing in Oregon. But I will temporarily change his name to Little Bobby Tables.,,9,1,realgxr,3/31/15,0,0,,,,5.83E+17,https://twitter.com/realgxr/status/583120794093391872,
122,In last month where has more time been spent administering/taking #PARCC or complaining/rallying against? #edchat #njed,,855,1,PVRTech,3/30/15,0,0,,,#PARCC #edchat #njed,5.83E+17,https://twitter.com/PVRTech/status/582576597523435520,
10,@MisteneC Adaptive Learning tool That Is Aligned With #RTI & Offers Test Based On Principals Of #PARCC & #SBAC http://bit.ly/1l9hNxv,,3046,1,PracTutor,3/25/15,0,0,,@MisteneC,#RTI #PARCC #SBAC,5.81E+17,https://twitter.com/PracTutor/status/580718480359628800,
148,PARCC assessments provide the schools teachers and parents with data to improve student performance. #PARCC htt‚Ä¶/bit.ly/1F9ebGW,,50027,1,PracTutor,3/30/15,0,0,,,#PARCC,5.83E+17,https://twitter.com/PracTutor/status/582609791404679169,
34,#PARCC started today for grades 3 & 4 and everything went smoothly. The kids did an awesome job #pohatpride,,8191,1,PohatSchool,3/17/15,1,3,,,#PARCC #pohatpride,5.78E+17,https://twitter.com/PohatSchool/status/577867225425526784,
209,We are officially finished with the #PARCC Performance Based Assessment! Thanks to everyone for your support. #PohatPride,,1746,1,PohatSchool,3/27/15,0,2,,,#PARCC #PohatPride,5.82E+17,https://twitter.com/PohatSchool/status/581562272566403072,
16,@PARCCPlace #coolblue9 #PARCC - I liked the non-calculator section because it was easier & a few questions were difficult -,,1946,1,PEACHY_ARI,3/27/15,2,0,,@PARCCPlace,#coolblue9 #PARCC,5.81E+17,https://twitter.com/PEACHY_ARI/status/581422706282872832,
38,#PARCC's winding down. Time to focus on tech integration that enables otherwise impossible lessons... http://ow.ly/KEOqn #edtech #ETIPC,,4246,1,PCookTech,3/22/15,0,0,,,#PARCC #edtech #ETIPC,5.80E+17,https://twitter.com/PCookTech/status/579812260702478336,
106,Had the pleasure of focusing on #edtech rather than #PARCC because testing went so well #PARCCready,,8633,1,PCookTech,3/16/15,0,0,,,#edtech #PARCC #PARCCready,5.78E+17,https://twitter.com/PCookTech/status/577669057719185408,
7,@Dolcisima I am still trying to wrap my head around how looking at publicly shared social media posts is spying? #PARCC #justsaying,,8008,1,patrickmlarkin,3/17/15,0,1,,@Dolcisima,#PARCC #justsaying,5.78E+17,https://twitter.com/patrickmlarkin/status/577900465528139776,
29,#NJ: Getting it right #PARCC style http://bit.ly/1EnZTmK #PARCCreadypic.twitter.com/fQg97T6Iw2,,8281,1,PARCCPlace,3/17/15,0,0,,,#NJ #PARCC #PARCCreadypic,5.78E+17,https://twitter.com/PARCCPlace/status/577850896945700864,
35,#PARCC tests Ss creativity & analytical thinking not just memorization of facts http://bit.ly/1HX1WRn #MApic.twitter.com/4D9PxQ6rnx,,840,1,PARCCPlace,3/30/15,9,5,,,#PARCC #MApic,5.83E+17,https://twitter.com/PARCCPlace/status/582584424014995456,
37,#PARCC will broaden teaching repertoire and help Ss' learn more about how technology can help them in every subject http://bit.ly/1E5JDZ0,,50023,1,PARCCPlace,3/30/15,3,2,,,#PARCC,5.83E+17,https://twitter.com/PARCCPlace/status/582627222399414272,
40,#Teachers be sure to check out #PARCC Professional Development Modules http://bit.ly/YRnWJB #PARCCready,,8473,1,PARCCPlace,3/17/15,9,2,,,#Teachers #PARCC #PARCCready,5.78E+17,https://twitter.com/PARCCPlace/status/577809328176017408,
208,Understanding the blueprint of the #PARCC assessments http://bit.ly/1AvyVEt #PARCCready,,4142,1,PARCCPlace,3/23/15,5,3,,,#PARCC #PARCCready,5.80E+17,https://twitter.com/PARCCPlace/status/579979810996371456,
199,They approve: NJ Community college presidents will use controversial #PARCC tests for student placement http://bit.ly/1BKYi4P,,3374,1,northjersey,3/24/15,3,0,,,#PARCC,5.80E+17,https://twitter.com/northjersey/status/580441737438593024,
79,Debates over testing crossing the line as opt outs put NM at risk http://goo.gl/SeYdGr @CarinaHilbert,,3180,1,NMEdPolicyBlog,3/24/15,0,0,,@CarinaHilbert,,5.81E+17,https://twitter.com/NMEdPolicyBlog/status/580543398295265280,
65,Asked a student who just took the #PARCC what he thought: More interesting and fun than the state test he took last year. #CommonCore,,1289,1,NaomiDeVeaux,3/29/15,0,0,,,#PARCC #CommonCore,5.82E+17,https://twitter.com/NaomiDeVeaux/status/582177449083056128,
2,"[Standardized tests]... can_ÔøΩÔøΩt measure and attach a meaningful number to the quality of original thought."" #optout http://www.washingtonpost.com/blogs/answer-sheet/wp/2015/03/01/the-important-things-standardized-tests-dont-measure/ÔøΩ__ÔøΩ_""","[Standardized tests]... can‚Äôt measure and attach a meaningful number to the quality of original thought."" #optout http://www.washingtonpost.com/blogs/answer-sheet/wp/2015/03/01/the-important-things-standardized-tests-dont-measure/¬†‚Ä¶""",17502,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"@CommunityCCRC: New Jersey colleges issue statement in support of #CommonCore & #PARCC assessments: http://www.app.com/story/news/education/homeandschool/2015/03/23/nj-colleges-support-common-core/70351536/ÔøΩ__ÔøΩ_"" #comm_colleges""","@CommunityCCRC: New Jersey colleges issue statement in support of #CommonCore & #PARCC assessments: http://www.app.com/story/news/education/homeandschool/2015/03/23/nj-colleges-support-common-core/70351536/¬†‚Ä¶"" #comm_colleges""",3433,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"@meanwhilefl just because you may not understand something doesn't mean it's the devil"" http://digital.olivesoftware.com/Olive/ODE/APress/LandingPage/LandingPage.aspx?href=QW1QLzIwMTUvMDMvMjM.&pageno=NA..&entity=QXIwMDQwMQ..&view=ZW50aXR5ÔøΩ__ÔøΩ_ #optout""","@meanwhilefl just because you may not understand something doesn't mean it's the devil"" http://digital.olivesoftware.com/Olive/ODE/APress/LandingPage/LandingPage.aspx?href=QW1QLzIwMTUvMDMvMjM.&pageno=NA..&entity=QXIwMDQwMQ..&view=ZW50aXR5¬†‚Ä¶ #optout""",4060,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,@SimplySuzy beautiful thoughts on @FourthGraders and #PARCC http://fb.me/7aylCt6YIÔøΩ_. Share with fellow Ts & Ss #elemtech @edtechteacher21,@SimplySuzy beautiful thoughts on @FourthGraders and #PARCC http://fb.me/7aylCt6YI . Share with fellow Ts & Ss #elemtech @edtechteacher21,3104,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,#CO parent: Don_ÔøΩÔøΩt _ÔøΩÔøΩopt out_ÔøΩÔøΩ of transparency in our schools http://bit.ly/1boSZ5LÔøΩ_ via @edu_post #PARCC #edcolo,#CO parent: Don’t ‘opt out’ of transparency in our schools http://bit.ly/1boSZ5L  via @edu_post #PARCC #edcolo,3847,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,#Massachusetts #teachers & leaders voice support for #PARCC @FutureReadyMA http://www.mbae.org/parcc-test-fairness-and-security/ÔøΩ__ÔøΩ_ @teachplusMA @MassStand @NBPublicSchools,#Massachusetts #teachers & leaders voice support for #PARCC @FutureReadyMA http://www.mbae.org/parcc-test-fairness-and-security/ … @teachplusMA @MassStand @NBPublicSchools,3332,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,#NJ's #communitycolleges strongly back #PARCC school testing. Say many students arrive unprepared. Via @AdelyReporter http://www.northjersey.com/news/community-college-presidents-will-use-controversial-parcc-tests-for-student-placement-1.1294635ÔøΩ__ÔøΩ_,#NJ's #communitycolleges strongly back #PARCC school testing. Say many students arrive unprepared. Via @AdelyReporter http://www.northjersey.com/news/community-college-presidents-will-use-controversial-parcc-tests-for-student-placement-1.1294635 …,3270,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"#OptOut movement"" is media-driven controversy. 99% of kids in Louisiana taking the test: http://www.whlt.com/story/28529928/students-taking-common-core-standardized-tests-this-weekÔøΩ__ÔøΩ_ #FactsMatter""","#OptOut movement"" is media-driven controversy. 99% of kids in Louisiana taking the test: http://www.whlt.com/story/28529928/students-taking-common-core-standardized-tests-this-week … #FactsMatter""",8453,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,#PARCC & #SBAC aren't yet ideal but place more focus on math reasoning & finding evidence in ELA @hechingerreport http://hechingerreport.org/what-this-springs-common-core-tests-promised-and-what-they-will-actually-deliver/ÔøΩ__ÔøΩ_,#PARCC & #SBAC aren't yet ideal but place more focus on math reasoning & finding evidence in ELA @hechingerreport http://hechingerreport.org/what-this-springs-common-core-tests-promised-and-what-they-will-actually-deliver/ …,3521,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,79% of teachers say PARCC trumps old tests website reports http://s.nola.com/mZ91JuHÔøΩ_ via @nolanews #PARCC #CCSS #assessment,79% of teachers say PARCC trumps old tests website reports http://s.nola.com/mZ91JuH  via @nolanews #PARCC #CCSS #assessment,3492,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,79% of teachers surveyed by @teachplus believe #PARCC better than their state's current assessment. #CCSS #edreform http://teachplus.org/news-events/publications/1000-teachers-examine-parcc-perspectives-quality-new-assessmentsÔøΩ__ÔøΩ_,79% of teachers surveyed by @teachplus believe #PARCC better than their state's current assessment. #CCSS #edreform http://teachplus.org/news-events/publications/1000-teachers-examine-parcc-perspectives-quality-new-assessments …,13938,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Another great post by @lynnellmick on the opt-out-of-testing movement who's behind it & why we shouldn't buy into it http://putkidsfirstmn.org/why-the-opt-out-movement-targets-affluent-white-parents/ÔøΩ__ÔøΩ_,Another great post by @lynnellmick on the opt-out-of-testing movement who's behind it & why we shouldn't buy into it http://putkidsfirstmn.org/why-the-opt-out-movement-targets-affluent-white-parents/ …,3380,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Are #parcc items making better #assessment? #education #edtech #ccss #commoncore http://www.assess.com/parcc-part-ab-items-provide-bad-data/ÔøΩ__ÔøΩ_,Are #parcc items making better #assessment? #education #edtech #ccss #commoncore http://www.assess.com/parcc-part-ab-items-provide-bad-data/ …,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Better tests+better information+better instruction=more learning. #SmarterAssessments #SBAC http://www.sacbee.com/opinion/op-ed/soapbox/article12911246.html#storylink=cpyÔøΩ__ÔøΩ_,Better tests+better information+better instruction=more learning. #SmarterAssessments #SBAC http://www.sacbee.com/opinion/op-ed/soapbox/article12911246.html#storylink=cpy …,16140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Check out these tips for keeping your cool in #assessment time! Keep Calm and Proctor On: http://blog.edcite.com/2015/03/19/keep-calm-and-proctor-on-10-ways-to-keep-calm-during-assessment-season/ÔøΩ__ÔøΩ_ _ÔøΩ_ _ÔøΩ_ #sunchat #edchat #PARCC,Check out these tips for keeping your cool in #assessment time! Keep Calm and Proctor On: http://blog.edcite.com/2015/03/19/keep-calm-and-proctor-on-10-ways-to-keep-calm-during-assessment-season/ … … … #sunchat #edchat #PARCC,4432,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Chicago Teacher: I Support High-Quality Assessments Like #PARCC http://educationpost.org/chicago-teacher-support-high-quality-assessments-like-parcc/#.VP8_9RrwFJ0.twitterÔøΩ__ÔøΩ_ via @edu_post @teachplusCHI #teachervoice #edreform,Chicago Teacher: I Support High-Quality Assessments Like #PARCC #teachervoice #edchat #ccss #commoncore http://sco.lt/5yy9I1,15466,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Children shouldn't be used 2make a political statement. No one wins with #optout http://digital.olivesoftware.com/Olive/ODE/APress/LandingPage/LandingPage.aspx?href=QW1QLzIwMTUvMDMvMjI.&pageno=MTA.&entity=QXIwMTAwMg..&view=ZW50aXR5ÔøΩ__ÔøΩ_ #parcc @LouisianaStand #LaEd #LAlege,Children shouldn't be used 2make a political statement. No one wins with #optout http://digital.olivesoftware.com/Olive/ODE/APress/LandingPage/LandingPage.aspx?href=QW1QLzIwMTUvMDMvMjI.&pageno=MTA.&entity=QXIwMTAwMg..&view=ZW50aXR5 … #parcc @LouisianaStand #LaEd #LAlege,4328,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
